A,B,C,D,E
118112766|Outline Studio|02080115|317413|182974|1|100100046473|osgb1000027190650|3|5800336|1|14.1|4|Cavendish Close|Thornhill, Cardiff|South Glamorgan|CF14 9HG|Caerdydd - Cardiff|02922211952|||||118 Information|2024-12-01,,,
129119644|Nicholas Ward Art|02080115|320214|176887|1|100100062870|osgb1000027286776|4|5800314|1|15.2|137|Carlisle Street|Splott, Cardiff|South Glamorgan|CF24 2PD|Caerdydd - Cardiff|07495657519|||||118 Information|2024-12-01,,,
54652830|Design Principle Ltd|02080115|318079|176446|1|100101054242|osgb1000027219395|6|5803646|3|17.5|North Chambers|Castle Arcade|Cathays, Cardiff|South Glamorgan|CF10 1BX|Caerdydd - Cardiff|02920343456|||||118 Information|2024-12-01,,,
152770125|Budget Rent A Car|02600113|317798|175977|1|100101053971|osgb1000027171238|4|5801998|1|40|Rear of 14-24|Tudor Street|Riverside, Cardiff|South Glamorgan|CF11 6AF|Caerdydd - Cardiff|03445448478|www.budget.co.uk|Budget Rent A Car|||118 Information|2024-12-01,,,
54660822|Martin Hopkins Design Ltd|02080115|316547|177338|1|10002527448|osgb1000027126116|6|5803644|3|26.5|11-13|Penhill Road|Cardiff|South Glamorgan|CF11 9PQ|Caerdydd - Cardiff|02920461233|www.martinhopkins.co.uk||||118 Information|2024-12-01,,,,
54601752|Bait Studio|02080115|319606.9|174254.7|1|10092985788|osgb5000005136455355|1|5802067|1|35.2|Bait Gloworks Centre of Creative Industries|Heol Porth Teigr|Butetown, Cardiff|South Glamorgan|CF10 4GA|Caerdydd - Cardiff|02920190132|www.baitstudio.com||||118 Information|2024-12-01,,,
124019606|Ctrl Alt Design|02080115|317736|176270|1|100100891066|osgb1000027175385|4|5802294|1|12.9|40|Brook Street|Riverside, Cardiff|South Glamorgan|CF11 6LH|Caerdydd - Cardiff|07900932522|||||118 Information|2024-12-01,,,
54648075|Penknife Ltd|02080115|319755.9|175861.1|1||osgb1000027251094|7|5803525|2|16.7|Priory House|Beignon Close|Splott, Cardiff|South Glamorgan|CF24 5PB|Caerdydd - Cardiff|02920461021|||||118 Information|2024-12-01,,,
123128025|Hertz Car Hire|02600113|316789.6|174970.7|1|200002932477|osgb1000027119199|3|5800128|1|17.2|26|Bessemer Road|Leckwith, Cardiff|South Glamorgan|CF11 8BA|Caerdydd - Cardiff|08708448844|www.hertz.co.uk/rentacar/reservation/|Hertz|||118 Information|2024-12-01,,,
54716333|Rondo|02080114|318224|176092|1||osgb1000027218861|7|5802118|3|30.1|Southgate House, Wood Street|Cathays|Cardiff|South Glamorgan|CF10 1EW|Caerdydd - Cardiff|02920223456|www.rondomedia.co.uk||||118 Information|2024-12-01,,,
54651567|Hoffi|02080115|318267|175518|1|100100890646|osgb5000005247907382|2|5801976|1|15.6|3|Trade Street|Butetown, Cardiff|South Glamorgan|CF10 5DQ|Caerdydd - Cardiff|02920487941|www.hoffi.com||||118 Information|2024-12-01,,,
152770803|Avis Rent A Car|02600113|317798|175977|1|100101053971|osgb1000027171238|4|5801998|1|40|Rear of 14-24|Tudor Street|Riverside, Cardiff|South Glamorgan|CF11 6AF|Caerdydd - Cardiff|03445446047|www.avis.co.uk/drive-avis/car-hire-locations/europe/united-kingdom/wales/cardiff/cardiff-near-cardiff-central-railway-station|AVIS|||118 Information|2024-12-01,,,
64370538|Orchard Ltd|02080114|318317|175419|1||osgb1000027217706|4|5801976|3|43.8|Orchard|Trade Street|Cardiff|South Glamorgan|CF10 5DT|Caerdydd - Cardiff|01443231737|www.thinkorchard.com||||118 Information|2024-12-01,,,,
78535149|Mr Producer Ltd|02080114|311878.8|176200.4|1|10023545614|osgb5000005141732401|2|5804625|1|39.7|Ty Mawr|Michaelston Road|St Fagans, Cardiff|South Glamorgan|CF5 6DW|Caerdydd - Cardiff|07970938906|www.mrproducer.co.uk||||118 Information|2024-12-01,,,
129845010|Drawn Sean|02080115|317552|181897|1|200001848514|osgb1000027188081|3|5800953|1|43.2|Flat 3 Homelong House|Heol Hir|Llanishen, Cardiff|South Glamorgan|CF14 5AZ|Caerdydd - Cardiff|07795031027|||||118 Information|2024-12-01,,,
55029558|Sanders Product Design & Branding Ltd|02080115|319070.8|174874.7|1|10094245361|osgb1000027250745|5|5803213|1|31.1|Office Suite 12 Platform|Hemingway Road|Butetown, Cardiff|South Glamorgan|CF10 5LS|Caerdydd - Cardiff|02920464661|||||118 Information|2024-12-01,,,
124010750|Brand 97|02080115|318711.2|178050.5|1|100100059206|osgb1000027225831|3|5801084|1|14.5|109|Inverness Place|Roath, Cardiff|South Glamorgan|CF24 4RW|Caerdydd - Cardiff|07513735472|||||118 Information|2024-12-01,,,
54660204|Adshel Plc|02080114|316881.9|173514.4|1|100101049044|osgb1000027118660|5|41502524|1|55.1|Unit B3|West Point Industrial Estate|Penarth|South Glamorgan|CF11 8JQ|Bro Morgannwg - the Vale of Glamorgan|02920704545|www.clearchannel.co.uk||||118 Information|2024-12-01,,,,
109079716|J D Services|02080114|320339.4|177780|1|10090716354|osgb1000027288452|4|5800619|1|15.6|Unit 6 Dominions Business Centre|Dominion Way|Penylan, Cardiff|South Glamorgan|CF24 1PT|Caerdydd - Cardiff|07411027592|||||118 Information|2024-12-01,,,
54652588|Elevator|02080115|316514|176078|1|100100073251|osgb1000027124056|2|5801172|1|15.1|26|Leckwith Avenue|Canton, Cardiff|South Glamorgan|CF11 8HQ|Caerdydd - Cardiff|02920437910|www.elevatordesign.co.uk||||118 Information|2024-12-01,,,
103272209|Hello Starling|02080114|317728|175818|1|10092989108|osgb1000027171093|7|5801565|1|27.5|Ground Floor Commercial Unit D Tramshed|Pendyris Street|Grangetown, Cardiff|South Glamorgan|CF11 6BH|Caerdydd - Cardiff|02920440022|www.hellostarling.com||||118 Information|2024-12-01,,,
78532573|Tenthirty|02080115|316671|177281|1|100100078339|osgb1000027126011|7|5801418|1|11.7|23|Mortimer Road|Pontcanna, Cardiff|South Glamorgan|CF11 9JZ|Caerdydd - Cardiff|02920230284|||||118 Information|2024-12-01,,,
104538584|Design at Andy Dark|02080115|316198|176497|1|100100073847|osgb1000027125157|9|5801476|1|14.8|2a|Northumberland Street|Canton, Cardiff|South Glamorgan|CF5 1NA|Caerdydd - Cardiff|02920342621|||||118 Information|2024-12-01,,,
49764004|Bay Art|02080115|319101|174806|1|10002506457|osgb1000027250770|4|5800258|1|20.7|Pascoe House 54|Bute Street|Butetown, Cardiff|South Glamorgan|CF10 5AF|Caerdydd - Cardiff|02920650016|||||118 Information|2024-12-01,,,
123153543|Ragged Robyn|02080115|313454|182158|1|100100136731|osgb1000027018505|3|5800269|1|19.9|7|Cae Lewis|Tongwynlais, Cardiff|South Glamorgan|CF15 7LQ|Caerdydd - Cardiff|07540470578|||||118 Information|2024-12-01,,,
54653869|Yogi Creative Marketing|02080115|318712|174513|1|10002512559|osgb1000027214499|6|5800255|1|16.1|3|Burt Street|Butetown, Cardiff|South Glamorgan|CF10 5FZ|Caerdydd - Cardiff|02920460234|||||118 Information|2024-12-01,,,
54652041|Teamworks|02080115|319975|176259|1|10002506979|osgb1000027254098|9|5800658|1|47|The Maltings|East Tyndall Street|Splott, Cardiff|South Glamorgan|CF24 5EA|Caerdydd - Cardiff|02920351452|www.teamworksdesign.com||||118 Information|2024-12-01,,,
161946168|Europcar|02600113|320468|177827|1|10002523877|osgb1000027288440|2|5800619|1|41.1|Unit 8 to 9 Block C Dominion Way Industrial Estate|Dominion Way|Penylan, Cardiff|South Glamorgan|CF24 1RF|Caerdydd - Cardiff|03713845972|www.europcar.co.uk|Europcar|||118 Information|2024-12-01,,,
54658580|Golley Slater|02080114|318341|176285.4|1|10014197758|osgb1000027219478|7|5802125|1|14.3|Wharton Place 13|Wharton Street|Cathays, Cardiff|South Glamorgan|CF10 1GS|Caerdydd - Cardiff|02920388621|||||118 Information|2024-12-01,,,
108359952|Visual Influence|02080114|316519.6|176708.8|1||osgb1000027122857|13|5801338|2|49|Visual Influence Chapter Arts Centre|Market Road|Canton, Cardiff|South Glamorgan|CF5 1QE|Caerdydd - Cardiff|02921328449|||||118 Information|2024-12-01,,,
123121795|The Orchard Media & Events Group Ltd|02080114|318243|175434|1|10002530117|osgb1000027217573|4|5801976|1|30.5|Priority Business Park|Trade Street|Butetown, Cardiff|South Glamorgan|CF10 5DT|Caerdydd - Cardiff|02920100888|www.thinkorchard.com||||118 Information|2024-12-01,,,
125724242|Key Business Allies|02080114|320127|179229|1|100100054761|osgb1000027292746|3|5801508|1|17.1|3|Ormonde Close|Penylan, Cardiff|South Glamorgan|CF23 9JG|Caerdydd - Cardiff|07745906768|||||118 Information|2024-12-01,,,
125803667|Lewis Portfolio|02080115|318288|182366|1|100100049271|osgb1000027236840|3|5802791|1|19.3|25|Mill Close|Llanishen, Cardiff|South Glamorgan|CF14 0XQ|Caerdydd - Cardiff|07988610105|||||118 Information|2024-12-01,,,
180653134|Julia Brooker Paintings Ltd|02080115|312588|180679|1|100100137837|osgb1000026986623|6|5800582|2|18.9|Dan-y-Bryn Avenue|Radyr|Cardiff|South Glamorgan|CF15 8DD|Caerdydd - Cardiff|07940572439|www.juliabrooker.com||||118 Information|2024-12-01,,,,
181526529|Artstation|02080115|316470|177120|1|100100077973|osgb1000027127086|5|5801214|1|16.1|21|Llanfair Road|Pontcanna, Cardiff|South Glamorgan|CF11 9PZ|Caerdydd - Cardiff|07740173164|||||118 Information|2024-12-01,,,
164699596|Head45|02080114|320053|175635|1||osgb1000002487489408|3|5803930|2|16.7|Unit 15 Neptune Court|Vanguard Way|Cardiff|South Glamorgan|CF24 5PJ|Caerdydd - Cardiff|02921880501|www.head45.com||||118 Information|2024-12-01,,,,
108284272|Polar 10 Ltd|02080115|315481.7|177341|1|100100074191|osgb1000027080053|3|5801559|1|19.7|4|Pencisely Rise|Canton, Cardiff|South Glamorgan|CF5 1DX|Caerdydd - Cardiff|02920554410|www.polar10.com||||118 Information|2024-12-01,,,
123159316|Celf Creative|02080114|318994|174751|1|100100890682|osgb1000027214411|6|5801421|1|21.7|58|Mount Stuart Square|Butetown, Cardiff|South Glamorgan|CF10 5LR|Caerdydd - Cardiff|02920496262|www.celfcreative.com||||118 Information|2024-12-01,,,
124006887|River & Bear|02080114|316781|176962|1|100100892319|osgb1000027120433|6|5801135|1|53.2|183a, King's Road|Pontcanna|Cardiff|South Glamorgan|CF11 9DF|Caerdydd - Cardiff|02920340587|www.riverandbear.co.uk||||118 Information|2024-12-01,,,
108301877|Thrifty Car & Van Rental|02600113|316289.1|175219|1|200002932440|osgb1000002706059097|1|5800870|1|64.8|Unit 6|Hadfield Road|Leckwith, Cardiff|South Glamorgan|CF11 8AQ|Caerdydd - Cardiff|02920227808|www.thrifty.co.uk|Thrifty Car & Van Rental|||118 Information|2024-12-01,,,
159609488|U Drive Car & Van Hire|02600113|320745|175178|1|10003567851|osgb1000002067931615|7|5800459|1|53.3||Coaster Place|Butetown, Cardiff|South Glamorgan|CF10 4XZ|Caerdydd - Cardiff|02921678444|www.u-drive.co.uk||||118 Information|2024-12-01,,,
49858498|Ask Motor Company|02600113|317010.7|173554|1|100101049053|osgb1000027168007|8|41502524|1|29.1|Unit D2|West Point Industrial Estate|Penarth|South Glamorgan|CF11 8JQ|Bro Morgannwg - the Vale of Glamorgan|02920497272|www.ask4cars.co.uk||||118 Information|2024-12-01,,,,
162696887|Sabre Motor Company|02600113|317072|173284|1|64103426|osgb1000027168039|4|41502356|2|43.8|Performance House|Penarth Road|Cardiff|South Glamorgan|CF11|Bro Morgannwg - the Vale of Glamorgan|02920465144|||||118 Information|2024-12-01,,,,
54613881|Petit Forestier|02600113|316510|173577|1||osgb5000005338592763|1|41502483|2|21.9|23 Llandough Trading Estate|Penarth Road|Cardiff|South Glamorgan|CF11 8RR|Bro Morgannwg - the Vale of Glamorgan|02920417777||Petit Forestier|||118 Information|2024-12-01,,,,
169655172|Dubs Travel|02600113|323772|181019|1|100100115238|osgb1000027380590|2|5800524|1|21|19|Cragside Close|Trowbridge, Cardiff|South Glamorgan|CF3 0ET|Caerdydd - Cardiff|07793129328|||||118 Information|2024-12-01,,,
54656765|Enterprise Rent-A-Car|02600113|320421|178243|1|200002933714|osgb1000027291647|3|5801085|1|27.8||Ipswich Road|Penylan, Cardiff|South Glamorgan|CF23 9AQ|Caerdydd - Cardiff|02920472800|www.enterprise.co.uk/en/home.html|Enterprise Rent-A-Car|||118 Information|2024-12-01,,,
125686813|Artemis|02070109|320962|178246|1|10090718631|osgb1000027291399|9|5804600|1|96.4|376|Newport Road|Penylan, Cardiff|South Glamorgan|CF23 9AE|Caerdydd - Cardiff|08009788316|||||118 Information|2024-12-01,,,
170988186|Trevor Taylor Properties|02600113|311498.7|179889.4|1|200001485531|osgb1000002706092449|2|5804589|1|28.4|Whitebarn House|Llantrisant Road|St Fagans, Cardiff|South Glamorgan|CF5 6JD|Caerdydd - Cardiff|07584501156|||||118 Information|2024-12-01,,,
54660743|Enterprise Rent-A-Car|02600113|318248|175575|1||osgb1000027216674|6|5801976|3|13.8|45|Penarth Road|Butetown, Cardiff|South Glamorgan|CF10 5DJ|Caerdydd - Cardiff|02920389222|www.enterprise.co.uk/en/home.html|Enterprise Rent-A-Car|||118 Information|2024-12-01,,,
152773614|Days|02600113|317110.6|174666.6|1|10002528563|osgb1000002487409819|5|5800870|1|57.3|Days Rental|Hadfield Road|Leckwith, Cardiff|South Glamorgan|CF11 8AQ|Caerdydd - Cardiff|01792222133|www.daysrental.co.uk||||118 Information|2024-12-01,,,
127714556|Idoo Wedding Cars|02600113|314225|178632|1|100100081568|osgb1000027037919|3|5802467|1|15.1|14|Douglas Close|Llandaff, Cardiff|South Glamorgan|CF5 2QT|Caerdydd - Cardiff|07823556846|www.idooweddingcarscardiff.co.uk||||118 Information|2024-12-01,,,
126979624|Steve Darwent Driving Services|02600113|312729|181312|1|100100137474|osgb1000026987102|7|5800019|1|18.3|15|Ael-y-Bryn|Radyr, Cardiff|South Glamorgan|CF15 8AZ|Caerdydd - Cardiff|07704049052|||||118 Information|2024-12-01,,,
167983546|Shared Regulatory Services|02070109|319301.2|175159.8|1|10002506530|osgb1000002487467255|3|5803443|1|779.6|County Hall|Atlantic Wharf|Butetown, Cardiff|South Glamorgan|CF10 4UW|Caerdydd - Cardiff|03001236696|||||118 Information|2024-12-01,,,
54882502|Wilson Chauffeur Services Ltd|02600113|311514|176171|1|100100094018|osgb1000026960318|3|5802390|1|8.9|17|Clos-y-Cwarra|St Fagans, Cardiff|South Glamorgan|CF5 4QT|Caerdydd - Cardiff|07971837560|www.wilsoncars.co.uk||||118 Information|2024-12-01,,,
85508895|Amber Fleet Management|02600113|321305|183070|1|10023544278|osgb1000002487414934|4|5803848|1|39.8|Elfed House Oak Tree Court|Mulberry Drive|Pontprennau, Cardiff|South Glamorgan|CF23 8RS|Caerdydd - Cardiff|02920514158|||||118 Information|2024-12-01,,,
97768077|Roy's Travels|02600113|322130|178801|1|100100107805|osgb1000027348467|8|5801448|1|20.1|230|New Road|Rumney, Cardiff|South Glamorgan|CF3 3BP|Caerdydd - Cardiff|02922400231|www.roystravels.co.uk||||118 Information|2024-12-01,,,
80831155|Taxi Rentals|02600113|318962|177589|1|10013746937|osgb1000027221020|6|5801118|3|15.1|The Gate Business Centre|Keppoch Street|Cardiff|South Glamorgan|CF24 3JW|Caerdydd - Cardiff|03303309285|||||118 Information|2024-12-01,,,,
95758322|Gullivers Truck Hire|02600113|316815.2|174027.5|1|200002932381|osgb1000027119113|6|5800193|1|43.6||Brindley Road|Leckwith, Cardiff|South Glamorgan|CF11 8TX|Caerdydd - Cardiff|02920399666|||||118 Information|2024-12-01,,,
54660637|Wheadon's Group Travel|02600113|314533|176909|1|200002938837|osgb1000027032895|4|5801875|2|34.6|Wheadon Greyhound Coach Co|Station Terrace|Fairwater, Cardiff|South Glamorgan|CF5 4AA|Caerdydd - Cardiff|02920575333|www.wheadons-group.co.uk||||118 Information|2024-12-01,,,
85533869|Northgate Vehicle Hire|02600113|322186|178546|1|10090718940|osgb1000002706022147|4|5801157|1|33.1||Lamby Way|Trowbridge, Cardiff|South Glamorgan|CF3 2EQ|Caerdydd - Cardiff|02920776400|www.northgatevehiclehire.co.uk|Northgate Vehicle Hire|||118 Information|2024-12-01,,,
104566885|Vale Pest Control|02070109|312145.3|177190.1|1|10002526630|osgb1000026985545|4|5800538|1|141|Laurel Cottage|Crofft-y-Genau Road|St Fagans, Cardiff|South Glamorgan|CF5 6DS|Caerdydd - Cardiff|02920552243|www.valepestcontrol.co.uk||||118 Information|2024-12-01,,,
162700311|Prestige Chauffeurs Cardiff Ltd|02600113|318705|181141|1|100100044849|osgb1000027234935|4|5801704|1|29.2|69|Rhyd y Penau Road|Cyncoed, Cardiff|South Glamorgan|CF23 6PY|Caerdydd - Cardiff|02922412062|||||118 Information|2024-12-01,,,
85582168|Storm Preservation Services|02070109|311671|176142|1|100100093745|osgb1000026960073|3|5800600|1|62.2|24|Denison Way|St Fagans, Cardiff|South Glamorgan|CF5 4SF|Caerdydd - Cardiff|02920343062|www.baileydampproofing.co.uk||||118 Information|2024-12-01,,,
107639099|Aliard Environmental Services|02070109|314845|177399|1|100100084035|osgb1000027036374|5|5802115|1|15.9|414|Western Avenue|Llandaff, Cardiff|South Glamorgan|CF5 2BL|Caerdydd - Cardiff|02920560997|||||118 Information|2024-12-01,,,
129824356|Pest Solutions Ltd|02070109|318677.1|176810.4|1|10094245107|osgb1000027218092|5|5803646|3|16.4|Haywood House North|Dumfries Place|Cardiff|South Glamorgan|CF10 3GA|Caerdydd - Cardiff|02921303146|www.pestsolutions.co.uk|Pest Solutions Ltd|||118 Information|2024-12-01,,,,
125629541|Yellohire|02600113|316468|174897|1||osgb1000027119221|5|5800870|3|38.8|Hadfield Road||Cardiff|South Glamorgan|CF11 8AQ|Caerdydd - Cardiff|03301115397|www.yellohire.com|Yellohire|||118 Information|2024-12-01,,,,
96557298|First Platinum Chauffeurs|02600113|321362|182506|1|100100141417|osgb1000027323747|6|5803782|1|8.2|9|Baltimore Close|Pontprennau, Cardiff|South Glamorgan|CF23 8PX|Caerdydd - Cardiff|02920732861|www.firstplatinumchauffeurs.co.uk||||118 Information|2024-12-01,,,
158339720|Limo Hire London|02600113|319507|176170|1|100100063509|osgb1000027254233|5|5800658|1|19.5|1|East Tyndall Street|Splott, Cardiff|South Glamorgan|CF24 5EY|Caerdydd - Cardiff|02078713477|www.limohirelondon.co.uk||||118 Information|2024-12-01,,,
54655554|Apollo Minibus Hire Ltd|02600113|314543|176959|1|10092986985|osgb1000027032976|4|5801875|1|43.6|Severn House|Station Terrace|Fairwater, Cardiff|South Glamorgan|CF5 4AA|Caerdydd - Cardiff|02920567113|www.apollominibus.com||||118 Information|2024-12-01,,,
54630761|Budget Rent A Car|02600113|317377|174793|1|200002932380|osgb1000027169249|8|5801556|3|57.6|Penarth Road||Cardiff|South Glamorgan|CF11 8YZ|Caerdydd - Cardiff|02920223131|www.budget.co.uk|Budget Rent A Car|||118 Information|2024-12-01,,,,
54628025|Mr Wasp|02070109|317912|180340|1|100100033542|osgb1000027186494|3|5801131|1|20.6|114|King George V Drive North|Heath, Cardiff|South Glamorgan|CF14 4EJ|Caerdydd - Cardiff|02920754796|www.mrwasp.co.uk||||118 Information|2024-12-01,,,
169457271|M E T Executive Travel|02600113|324031|181009|1|100100117894|osgb1000027396822|4|5801898|1|15.7|2|Syon Park Close|Trowbridge, Cardiff|South Glamorgan|CF3 0BN|Caerdydd - Cardiff|02920303051|||||118 Information|2024-12-01,,,
169457292|Kingdom Executive Travel|02600113|318248|178496|1|100100029694|osgb1000027228822|5|5801317|1|10.9|109|Malefant Street|Cathays, Cardiff|South Glamorgan|CF24 4QE|Caerdydd - Cardiff|07450505000|||||118 Information|2024-12-01,,,
180648089|Jonny-rocks Ltd|02600113|318330|176659|1|10002513201|osgb1000027218344|5|5800851|1|39.2|Capital Tower|Greyfriars Road|Cathays, Cardiff|South Glamorgan|CF10 3AG|Caerdydd - Cardiff|03337726054|www.luxurychauffeurhirecardiff.co.uk||||118 Information|2024-12-01,,,
181521170|Cars for Stars|02600113|319975|176259|1|10002506979|osgb1000027254098|9|5801181|3|37.8|Unit 10 The Maltings|East Tyndall Street|Cardiff|South Glamorgan|CF24 5EA|Caerdydd - Cardiff|08004101515|www.carsforstars-manchester.co.uk|Cars For Stars Ltd|||118 Information|2024-12-01,,,,
103295109|Waltons Coaches|02600113|320775.2|174894.4|1|10023546441|osgb1000000277713675|6|5802058|1|13.8||Viking Place|Butetown, Cardiff|South Glamorgan|CF10 4TR|Caerdydd - Cardiff|02920489955|||||118 Information|2024-12-01,,,
103305606|J R Coach Hire|02600113|312732|180092|1|10002524858|osgb1000002067890507|6|5803838|1|22.4|8|Pilgrim Close|Radyr, Cardiff|South Glamorgan|CF15 8GD|Caerdydd - Cardiff|02920844461|||||118 Information|2024-12-01,,,
54630701|Sunbreak Car Hire|02600113|317679|178659|1|100101043901|osgb1000027179152|5|5802128|1|16.3|96|Whitchurch Road|Gabalfa, Cardiff|South Glamorgan|CF14 3LY|Caerdydd - Cardiff|02920401486|www.sunbreakholidays.com||||118 Information|2024-12-01,,,
54630727|Enterprise Rent-A-Car|02600113|316464.6|174893.2|1|10002527864|osgb1000027119220|6|5800870|1|43.9|Unit 1 to 2 Hadfield Court|Hadfield Road|Leckwith, Cardiff|South Glamorgan|CF11 8AQ|Caerdydd - Cardiff|02920481513|www.enterprise.co.uk/en/home.html|Enterprise Rent-A-Car|||118 Information|2024-12-01,,,
